Match ID,Match URL,League,League ID,Match Start Time,Home Team,Away Team,Home Goals,Away Goals,Home Team ID,Away Team ID,Home Expected goals (xG),Away Expected goals (xG),Home Penalties,Away Penalties,Home xG penalty,Away xG penalty,Home xG first half penalty,Away xG first half penalty,Home xG 2nd half penalty,Away xG 2nd half penalty,Home xG first half,Away xG first half,Home xG second half,Away xG second half,Home xG on target (xGOT),Away xG on target (xGOT),Home xG open play,Away xG open play,Home xG set play,Away xG set play,Home Ball possession,Away Ball possession,Home Total shots,Away Total shots,Home Chances created,Away Chances created,Home Big chances,Away Big chances,Home Accurate passes,Away Accurate passes,Home Pass success,Away Pass success,Home Fouls conceded,Away Fouls conceded,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Shots,Away Shots,Home Shots on target,Away Shots on target,Home Shots off target,Away Shots off target,Home Blocked shots,Away Blocked shots,Home Shots woodwork,Away Shots woodwork,Home Shots inside box,Away Shots inside box,Home Shots outside box,Away Shots outside box,Home Own half,Away Own half,Home Opposition half,Away Opposition half,Home Passes,Away Passes,Home Touches,Away Touches,Home Long balls,Away Long balls,Home Accurate long balls,Away Accurate long balls,Home Crosses,Away Crosses,Home Accurate crosses,Away Accurate crosses,Home Throws,Away Throws,Home Duels won,Away Duels won,Home Duels,Away Duels,Home Dribbles attempteds,Away Dribbles attempteds,Home Dribbles succeeded,Away Dribbles succeeded,Home Tackles attempted,Away Tackles attempted,Home Tackles succeeded,Away Tackles succeeded,Home Aerials won,Away Aerials won,Home Interceptions,Away Interceptions,Home Discipline,Away Discipline,Home Yellow cards,Away Yellow cards,Home Red cards,Away Red cards,Home Keeper,Away Keeper,Home Saves,Away Saves,Home Diving saves,Away Diving saves,Home Saves inside box,Away Saves inside box,Home Acted as sweeper,Away Acted as sweeper,Home Punches,Away Punches
3608090,https://www.fotmob.com/livescores/3608090/matchfacts/hearts-vs-hibernian,Scotland Premiership,64,12-September-2021,Hearts,Hibernian,0,0,9860,10251,1.46,1.08,0,0,,,0.0,0.0,0.0,0.0,0.56,0.20,0.90,0.88,2.13,1.58,1.08,1.00,0.37,0.08,57,43,16,14,14,12,2,1,299,203,74%,67%,14,10,11,4,0,4,16,14,4,6,7,6,5,2,0,0,9,8,7,6,110,94,189,109,403,303,617,530,57,70,19,25,29,24,10,6,17,23,68,66,134,134,17,17,9,7,19,19,11,8,31,26,8,14,,,1,1,0,0,,,6,5,4,5,3,2,2,0,0,0
3608092,https://www.fotmob.com/livescores/3608092/matchfacts/st.-johnstone-vs-rangers,Scotland Premiership,64,11-September-2021,St. Johnstone,Rangers,1,2,8467,8548,0.86,1.22,0,1,0.00,0.79,0.0,0.0,0.0,0.7884,0.09,0.25,0.77,0.97,0.77,1.40,0.82,0.34,0.04,0.09,30,70,5,10,2,9,1,1,109,409,50%,82%,14,11,6,7,4,2,5,10,1,4,3,4,1,2,0,0,4,5,1,5,68,182,41,227,217,501,391,698,77,53,14,31,13,25,4,6,11,17,36,63,99,99,11,12,3,6,13,13,4,5,10,30,9,1,,,3,3,0,0,,,2,0,1,0,1,0,0,0,0,0
3608088,https://www.fotmob.com/livescores/3608088/matchfacts/celtic-vs-ross-county,Scotland Premiership,64,11-September-2021,Celtic,Ross County,3,0,9925,8649,2.71,0.50,0,0,,,0.0,0.0,0.0,0.0,1.02,0.08,1.69,0.42,2.72,0.56,2.07,0.50,0.64,0.00,77,23,21,5,19,5,2,2,669,141,89%,64%,9,8,7,0,3,6,21,5,8,2,9,2,4,1,0,0,10,4,11,1,338,72,331,69,753,220,941,412,45,58,26,24,21,9,8,1,29,18,36,59,95,95,14,13,2,6,13,25,5,17,13,19,9,24,,,0,1,0,0,,,2,5,1,2,2,3,0,0,0,0
3608089,https://www.fotmob.com/livescores/3608089/matchfacts/dundee-fc-vs-livingston,Scotland Premiership,64,11-September-2021,Dundee FC,Livingston,0,0,8284,8282,1.28,0.51,0,0,,,0.0,0.0,0.0,0.0,0.66,0.31,0.62,0.20,1.27,0.29,1.04,0.25,0.24,0.26,51,49,21,12,14,10,1,0,228,209,68%,63%,12,19,9,8,3,2,21,12,8,4,7,2,6,6,0,0,11,5,10,7,83,107,145,102,334,331,572,527,70,89,27,34,27,22,9,5,19,19,69,70,139,139,32,9,9,4,13,28,10,20,28,26,9,9,,,1,4,0,0,,,4,8,2,3,2,6,0,0,0,1
3608091,https://www.fotmob.com/livescores/3608091/matchfacts/motherwell-vs-aberdeen,Scotland Premiership,64,11-September-2021,Motherwell,Aberdeen,2,0,9927,8485,1.30,1.01,0,0,,,0.0,0.0,0.0,0.0,0.91,0.55,0.39,0.46,1.13,0.46,0.55,0.76,0.75,0.25,26,74,6,20,6,15,2,0,119,482,62%,85%,21,15,1,6,2,2,6,20,2,7,1,5,3,8,0,0,4,9,2,11,64,226,55,256,192,567,370,749,65,62,17,36,8,21,3,6,10,26,46,49,95,95,16,11,4,3,16,14,8,11,11,12,10,4,,,5,4,0,0,,,7,0,1,0,3,0,0,0,0,0
3608093,https://www.fotmob.com/livescores/3608093/matchfacts/st.-mirren-vs-dundee-united,Scotland Premiership,64,11-September-2021,St. Mirren,Dundee United,0,0,9800,9938,0.77,1.68,0,0,,,0.0,0.0,0.0,0.0,0.17,0.73,0.60,0.95,0.07,0.79,0.41,1.63,0.36,0.05,57,43,15,9,10,6,0,3,258,184,66%,60%,13,10,6,3,2,2,15,9,1,3,5,4,9,2,0,1,7,7,8,2,126,78,132,106,388,306,588,502,86,94,33,31,25,10,10,3,36,19,71,52,123,123,16,14,8,6,16,12,8,10,37,24,10,13,,,2,1,0,0,,,3,1,0,1,2,1,0,0,2,1
3608086,https://www.fotmob.com/livescores/3608086/matchfacts/rangers-vs-celtic,Scotland Premiership,64,29-August-2021,Rangers,Celtic,1,0,8548,9925,0.80,1.56,0,0,,,0.0,0.0,0.0,0.0,0.22,0.85,0.58,0.71,0.42,0.69,0.38,1.36,0.42,0.20,34,66,15,10,9,8,0,2,241,552,73%,85%,9,12,4,4,0,1,15,10,4,3,7,5,4,2,1,0,6,6,9,4,109,288,132,264,328,646,550,854,47,55,17,25,16,22,4,4,17,25,46,58,104,104,15,20,4,8,17,19,13,13,14,23,5,11,,,0,2,0,0,,,3,3,0,2,2,1,1,0,0,0
3608082,https://www.fotmob.com/livescores/3608082/matchfacts/aberdeen-vs-ross-county,Scotland Premiership,64,29-August-2021,Aberdeen,Ross County,1,1,8485,8649,3.34,1.06,0,0,,,0.0,0.0,0.0,0.0,1.44,0.49,1.89,0.58,2.00,0.82,2.45,0.97,0.88,0.10,75,25,23,8,14,5,1,2,519,108,86%,56%,11,17,12,7,1,1,23,8,5,5,10,1,8,2,0,0,19,7,4,1,289,48,230,60,601,194,831,383,74,61,49,12,43,16,8,3,35,7,49,49,98,98,17,6,10,5,7,10,4,6,17,23,4,11,,,2,3,0,0,,,3,4,1,2,4,2,0,0,0,0
3608087,https://www.fotmob.com/livescores/3608087/matchfacts/st.-mirren-vs-st.-johnstone,Scotland Premiership,64,29-August-2021,St. Mirren,St. Johnstone,0,0,9800,8467,1.53,0.81,0,0,,,0.0,0.0,0.0,0.0,1.35,0.47,0.18,0.34,1.19,1.01,0.57,0.57,0.97,0.24,44,56,10,15,8,14,0,0,174,243,59%,65%,14,16,2,4,2,1,10,15,3,6,5,6,2,3,0,1,6,9,4,6,72,95,102,148,295,376,502,573,83,91,23,32,19,23,4,10,28,23,68,83,151,151,18,17,8,7,14,18,7,9,30,45,8,8,,,1,3,1,0,,,6,3,3,1,4,2,1,0,0,3
3608083,https://www.fotmob.com/livescores/3608083/matchfacts/dundee-united-vs-hearts,Scotland Premiership,64,28-August-2021,Dundee United,Hearts,0,2,9938,9860,0.42,1.59,0,1,0.00,0.78,0.0,0.7884,0.0,0.0,0.16,1.43,0.26,0.17,1.61,1.93,0.27,0.63,0.14,0.18,39,61,8,11,4,10,0,1,237,430,67%,80%,15,11,5,4,3,1,8,11,7,3,1,4,0,4,0,0,3,8,5,3,144,215,93,215,352,537,521,725,67,83,27,48,13,21,3,6,18,15,53,56,109,109,15,9,9,6,11,14,5,9,23,21,17,9,,,2,2,0,0,,,1,7,1,3,1,3,0,0,0,0
